sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
5,1,1,20,IMG_0051,1/6,8.0,100,201,211,222
5,1,1,20,IMG_0052,1/8,8.0,100,184,195,206
5,1,1,20,IMG_0053,1/10,8.0,100,167,178,188
5,1,1,20,IMG_0054,1/13,8.0,100,149,160,171
5,1,1,20,IMG_0055,1/15,8.0,100,127,139,149
5,1,1,20,IMG_0056,1/20,8.0,100,110,121,131
5,1,1,20,IMG_0057,1/25,8.0,100,91,102,112
5,1,1,20,IMG_0058,1/30,8.0,100,78,88,97
5,1,1,20,IMG_0059,1/40,8.0,100,61,70,79
5,1,1,20,IMG_0060,1/50,8.0,100,48,57,65
5,1,2,0,IMG_0105,1/6,8.0,100,175,193,213
5,1,2,0,IMG_0106,1/8,8.0,100,160,177,195
5,1,2,0,IMG_0107,1/10,8.0,100,140,159,178
5,1,2,0,IMG_0108,1/13,8.0,100,120,138,158
5,1,2,0,IMG_0109,1/15,8.0,100,101,119,136
5,1,2,0,IMG_0110,1/20,8.0,100,84,100,117
5,1,2,0,IMG_0111,1/25,8.0,100,70,84,98
5,1,2,0,IMG_0112,1/30,8.0,100,57,70,83
5,1,2,0,IMG_0113,1/40,8.0,100,47,59,70
5,1,2,0,IMG_0114,1/50,8.0,100,37,46,55
5,1,2,5,IMG_0092,1/6,8.0,100,180,193,220
5,1,2,5,IMG_0093,1/8,8.0,100,163,176,201
5,1,2,5,IMG_0094,1/10,8.0,100,141,156,181
5,1,2,5,IMG_0095,1/13,8.0,100,122,137,163
5,1,2,5,IMG_0096,1/15,8.0,100,108,121,147
5,1,2,5,IMG_0097,1/20,8.0,100,89,102,125
5,1,2,5,IMG_0098,1/25,8.0,100,73,86,107
5,1,2,5,IMG_0099,1/30,8.0,100,61,73,90
5,1,2,5,IMG_0100,1/40,8.0,100,47,59,73
5,1,2,5,IMG_0101,1/50,8.0,100,38,48,59
5,1,2,10,IMG_0082,1/6,8.0,100,180,193,219
5,1,2,10,IMG_0083,1/8,8.0,100,162,175,200
5,1,2,10,IMG_0084,1/10,8.0,100,143,157,182
5,1,2,10,IMG_0085,1/13,8.0,100,124,138,165
5,1,2,10,IMG_0086,1/15,8.0,100,105,117,143
5,1,2,10,IMG_0087,1/20,8.0,100,88,101,124
5,1,2,10,IMG_0088,1/25,8.0,100,73,85,106
5,1,2,10,IMG_0089,1/30,8.0,100,59,75,88
5,1,2,10,IMG_0090,1/40,8.0,100,47,59,73
5,1,2,10,IMG_0091,1/50,8.0,100,38,48,59
5,1,2,15,IMG_0071,1/6,8.0,100,185,207,221
5,1,2,15,IMG_0072,1/8,8.0,100,168,180,204
5,1,2,15,IMG_0073,1/10,8.0,100,149,172,184
5,1,2,15,IMG_0074,1/13,8.0,100,129,154,167
5,1,2,15,IMG_0075,1/15,8.0,100,107,119,143
5,1,2,15,IMG_0076,1/20,8.0,100,91,114,125
5,1,2,15,IMG_0077,1/25,8.0,100,77,88,109
5,1,2,15,IMG_0078,1/30,8.0,100,63,73,92
5,1,2,15,IMG_0079,1/40,8.0,100,49,59,75
5,1,2,15,IMG_0080,1/50,8.0,100,39,49,61
5,1,2,20,IMG_0337,1/6,8.0,100,189,201,223
5,1,2,20,IMG_0338,1/8,8.0,100,171,183,205
5,1,2,20,IMG_0339,1/10,8.0,100,154,166,187
5,1,2,20,IMG_0340,1/13,8.0,100,134,146,170
5,1,2,20,IMG_0341,1/15,8.0,100,113,125,148
5,1,2,20,IMG_0342,1/20,8.0,100,97,109,130
5,1,2,20,IMG_0343,1/25,8.0,100,80,92,111
5,1,2,20,IMG_0344,1/30,8.0,100,64,76,92
5,1,2,20,IMG_0345,1/40,8.0,100,51,66,77
5,1,2,20,IMG_0346,1/50,8.0,100,42,53,64
5,1,3,0,IMG_0176,1/6,8.0,100,183,200,215
5,1,3,0,IMG_0177,1/8,8.0,100,165,180,193
5,1,3,0,IMG_0178,1/10,8.0,100,146,163,177
5,1,3,0,IMG_0179,1/13,8.0,100,126,143,157
5,1,3,0,IMG_0180,1/15,8.0,100,110,125,138
5,1,3,0,IMG_0181,1/20,8.0,100,91,106,118
5,1,3,0,IMG_0182,1/25,8.0,100,75,88,100
5,1,3,0,IMG_0183,1/30,8.0,100,62,74,84
5,1,3,0,IMG_0184,1/40,8.0,100,50,60,69
5,1,3,0,IMG_0185,1/50,8.0,100,39,48,56
5,1,3,5,IMG_0187,1/6,8.0,100,185,200,215
5,1,3,5,IMG_0188,1/8,8.0,100,169,183,197
5,1,3,5,IMG_0189,1/10,8.0,100,148,164,177
5,1,3,5,IMG_0190,1/13,8.0,100,126,142,156
5,1,3,5,IMG_0191,1/15,8.0,100,109,124,137
5,1,3,5,IMG_0192,1/20,8.0,100,94,108,121
5,1,3,5,IMG_0193,1/25,8.0,100,75,88,99
5,1,3,5,IMG_0194,1/30,8.0,100,64,76,86
5,1,3,5,IMG_0195,1/40,8.0,100,50,60,70
5,1,3,5,IMG_0196,1/50,8.0,100,40,49,58
5,1,3,10,IMG_0197,1/6,8.0,100,188,202,215
5,1,3,10,IMG_0198,1/8,8.0,100,170,183,195
5,1,3,10,IMG_0199,1/10,8.0,100,152,166,178
5,1,3,10,IMG_0200,1/13,8.0,100,130,145,158
5,1,3,10,IMG_0201,1/15,8.0,100,114,128,140
5,1,3,10,IMG_0202,1/20,8.0,100,94,106,118
5,1,3,10,IMG_0203,1/25,8.0,100,80,92,103
5,1,3,10,IMG_0204,1/30,8.0,100,66,77,87
5,1,3,10,IMG_0205,1/40,8.0,100,52,62,72
5,1,3,10,IMG_0206,1/50,8.0,100,41,51,59
5,1,3,15,IMG_0208,1/6,8.0,100,188,201,215
5,1,3,15,IMG_0209,1/8,8.0,100,171,184,198
5,1,3,15,IMG_0210,1/10,8.0,100,152,165,178
5,1,3,15,IMG_0211,1/13,8.0,100,133,146,161
5,1,3,15,IMG_0212,1/15,8.0,100,114,127,141
5,1,3,15,IMG_0213,1/20,8.0,100,94,107,119
5,1,3,15,IMG_0214,1/25,8.0,100,79,91,102
5,1,3,15,IMG_0215,1/30,8.0,100,66,76,87
5,1,3,15,IMG_0216,1/40,8.0,100,52,62,72
5,1,3,15,IMG_0217,1/50,8.0,100,41,50,59
5,1,3,20,IMG_0218,1/6,8.0,100,188,202,215
5,1,3,20,IMG_0219,1/8,8.0,100,172,186,199
5,1,3,20,IMG_0220,1/10,8.0,100,152,166,178
5,1,3,20,IMG_0221,1/13,8.0,100,133,148,161
5,1,3,20,IMG_0222,1/15,8.0,100,111,125,137
5,1,3,20,IMG_0223,1/20,8.0,100,97,110,122
5,1,3,20,IMG_0224,1/25,8.0,100,78,90,101
5,1,3,20,IMG_0225,1/30,8.0,100,64,75,85
5,1,3,20,IMG_0226,1/40,8.0,100,52,62,71
5,1,3,20,IMG_0227,1/50,8.0,100,42,51,59
5,1,4,0,IMG_0115,1/6,8.0,100,190,205,214
5,1,4,0,IMG_0116,1/8,8.0,100,171,187,196
5,1,4,0,IMG_0117,1/10,8.0,100,153,169,179
5,1,4,0,IMG_0118,1/13,8.0,100,134,151,161
5,1,4,0,IMG_0119,1/15,8.0,100,114,131,141
5,1,4,0,IMG_0120,1/20,8.0,100,97,112,122
5,1,4,0,IMG_0121,1/25,8.0,100,81,96,106
5,1,4,0,IMG_0122,1/30,8.0,100,65,79,88
5,1,4,0,IMG_0123,1/40,8.0,100,51,64,72
5,1,4,0,IMG_0124,1/50,8.0,100,41,52,60
5,1,4,5,IMG_0125,1/6,8.0,100,191,207,229
5,1,4,5,IMG_0126,1/8,8.0,100,174,191,214
5,1,4,5,IMG_0127,1/10,8.0,100,156,173,193
5,1,4,5,IMG_0128,1/13,8.0,100,138,156,179
5,1,4,5,IMG_0129,1/15,8.0,100,116,134,156
5,1,4,5,IMG_0130,1/20,8.0,100,99,116,135
5,1,4,5,IMG_0131,1/25,8.0,100,83,99,118
5,1,4,5,IMG_0132,1/30,8.0,100,67,82,98
5,1,4,5,IMG_0133,1/40,8.0,100,54,67,79
5,1,4,5,IMG_0134,1/50,8.0,100,43,54,65
5,1,4,10,IMG_0135,1/6,8.0,100,197,210,232
5,1,4,10,IMG_0136,1/8,8.0,100,179,194,217
5,1,4,10,IMG_0137,1/10,8.0,100,163,177,198
5,1,4,10,IMG_0138,1/13,8.0,100,143,159,181
5,1,4,10,IMG_0139,1/15,8.0,100,124,140,162
5,1,4,10,IMG_0140,1/20,8.0,100,104,120,140
5,1,4,10,IMG_0141,1/25,8.0,100,88,103,122
5,1,4,10,IMG_0142,1/30,8.0,100,71,84,101
5,1,4,10,IMG_0143,1/40,8.0,100,60,72,86
5,1,4,10,IMG_0144,1/50,8.0,100,47,59,70
5,1,4,15,IMG_0155,1/6,8.0,100,199,213,231
5,1,4,15,IMG_0156,1/8,8.0,100,185,200,220
5,1,4,15,IMG_0157,1/10,8.0,100,164,178,196
5,1,4,15,IMG_0158,1/13,8.0,100,145,161,179
5,1,4,15,IMG_0159,1/15,8.0,100,129,145,163
5,1,4,15,IMG_0160,1/20,8.0,100,106,121,138
5,1,4,15,IMG_0161,1/25,8.0,100,91,106,121
5,1,4,15,IMG_0162,1/30,8.0,100,76,89,103
5,1,4,15,IMG_0163,1/40,8.0,100,63,75,87
5,1,4,15,IMG_0164,1/50,8.0,100,50,61,71
5,1,4,20,IMG_0165,1/6,8.0,100,199,216,229
5,1,4,20,IMG_0166,1/8,8.0,100,180,200,212
5,1,4,20,IMG_0167,1/10,8.0,100,163,182,193
5,1,4,20,IMG_0168,1/13,8.0,100,147,168,179
5,1,4,20,IMG_0169,1/15,8.0,100,123,145,156
5,1,4,20,IMG_0170,1/20,8.0,100,108,128,139
5,1,4,20,IMG_0171,1/25,8.0,100,91,110,120
5,1,4,20,IMG_0172,1/30,8.0,100,76,93,104
5,1,4,20,IMG_0173,1/40,8.0,100,60,75,84
5,1,4,20,IMG_0174,1/50,8.0,100,49,63,72
